ame,waitTime,runningTime,rngTime
BMP180,119495,3817,0
SHA256,98161,18,13848
SR04,11370,2462,0
BMP180,2630,3822,0
SHA256,6341,22,3856
SR04,113460,2511,0
BMP180,119495,3817,0
SHA256,98161,18,13848
SR04,11369,2462,0
BMP180,2629,3823,0
SHA256,6340,22,3856
SR04,113461,2509,0
BMP180,119496,3817,0
SHA256,98162,18,13848
SR04,11370,2537,0
BMP180,2705,3822,0
SHA256,6416,22,3856
SR04,113386,2510,0
BMP180,119421,3817,0
SHA256,98086,18,13848
SR04,11369,2512,0
BMP180,2680,3822,0
SHA256,6391,22,3856
SR04,113411,2510,0
BMP180,119446,3817,0
SHA256,98111,18,13848
SR04,11369,2536,0
BMP180,2703,3823,0
SHA256,6414,23,3857
SR04,113387,2510,0
BMP180,119422,3817,0
SHA256,98087,18,13848
SR04,11369,2462,0
BMP180,2630,3822,0
SHA256,6341,22,3856
SR04,113461,2510,0
BMP180,119496,3817,0
SHA256,98161,18,13848
SR04,11369,2462,0
BMP180,2630,3822,0
SHA256,6341,22,3856
SR04,113460,2510,0
BMP180,119495,3817,0
SHA256,98161,18,13848
SR04,11369,2462,0
BMP180,2630,3822,0
SHA256,6341,22,3856
SR04,113461,2511,0
BMP180,119496,3817,0
SHA256,98161,18,13848
SR04,11368,2461,0
BMP180,2629,3823,0
SHA256,6340,22,3856
SR04,113461,2511,0
BMP180,119496,3817,0
SHA256,98162,18,13848
SR04,11369,2462,0
BMP180,2630,3823,0
SHA256,6341,22,3856
SR04,113460,2510,0
BMP180,119495,3817,0
SHA256,98161,18,13848
SR04,11369,2462,0
BMP180,2629,3823,0
SHA256,6340,23,3857
